Num;alim_nom_fr;alim_nom_sci;alim_grp_code;alim_grp_nom_fr;alim_ssgrp_code;alim_ssgrp_nom_fr;alim_ssssgrp_code;alim_ssssgrp_nom_fr;Energie, Règlement UE N° 1169/2011 (kJ/100 g);Energie, Règlement UE N° 1169/2011 (kcal/100 g);Energie, N x facteur Jones, avec fibres  (kJ/100 g);Energie, N x facteur Jones, avec fibres  (kcal/100 g);Eau (g/100 g);Protéines, N x facteur de Jones (g/100 g);Protéines, N x 625 (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Sucres (g/100 g);Fructose (g/100 g);Galactose (g/100 g);Glucose (g/100 g);Lactose (g/100 g);Maltose (g/100 g);Saccharose (g/100 g);Amidon (g/100 g);Fibres alimentaires (g/100 g);Polyols totaux (g/100 g);Cendres (g/100 g);Alcool (g/100 g);Acides organiques (g/100 g);AG saturés (g/100 g);AG monoinsaturés (g/100 g);AG polyinsaturés (g/100 g);AG 4:0, butyrique (g/100 g);AG 6:0, caproïque (g/100 g);AG 8:0, caprylique (g/100 g);AG 10:0, caprique (g/100 g);AG 12:0, laurique (g/100 g);AG 14:0, myristique (g/100 g);AG 16:0, palmitique (g/100 g);AG 18:0, stéarique (g/100 g);AG 18:1 9c (n-9), oléique (g/100 g);AG 18:2 9c,12c (n-6), linoléique (g/100 g);AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100 g);AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100 g);AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100 g);AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100 g);Cholestérol (mg/100 g);Sel chlorure de sodium (g/100 g);Calcium (mg/100 g);Chlorure (mg/100 g);Cuivre (mg/100 g);Fer (mg/100 g);Iode (µg/100 g);Magnésium (mg/100 g);Manganèse (mg/100 g);Phosphore (mg/100 g);Potassium (mg/100 g);Sélénium (µg/100 g);Sodium (mg/100 g);Zinc (mg/100 g);Rétinol (µg/100 g);Beta-Carotène (µg/100 g);Vitamine D (µg/100 g);Vitamine E (mg/100 g);Vitamine K1 (µg/100 g);Vitamine K2 (µg/100 g);Vitamine C (mg/100 g);Vitamine B1 ou Thiamine (mg/100 g);Vitamine B2 ou Riboflavine (mg/100 g);Vitamine B3 ou PP ou Niacine (mg/100 g);Vitamine B5 ou Acide pantothénique (mg/100 g)
129;Brèdes chou de Chine ou bok choy ou pak choï, tiges et feuilles, cuites à la vapeur, prélevées à La Réunion (Brassica rapa subsp. Chinensis);;02;fruits, légumes, légumineuses et oléagineux;0201;légumes;020105;légumes et leurs produits de la Réunion;74,4;17,7;74,4;17,7;94,1;1,69;1,69;1,7;< 0,3;0,4;< 0,2;< 0,2;0,4;< 0,2;< 0,2;< 0,2;< 0,35;1,3;traces;0,99;0;0,069;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;-;0,038;88;48,3;0,04;0,93;< 20;17;0,25;28;330;< 20;15;0,28;-;1760;-;1,5;53,8;-;9,54;0,026;0,061;0,36;0,18
130;Pois chiche, bouilli/cuit à l'eau;;02;fruits, légumes, légumineuses et oléagineux;0203;légumineuses;020301;légumineuses cuites;618;147;618;147;62;8,31;8,31;17,7;3;0,3;< 0,2;-;< 0,2;< 0,2;< 0,2;0,3;14,9;8,2;< 0,5;0,73;0;0,056;0,46;0,82;1,59;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;0,01;0,37;0,07;0,77;1,5;0,08;< 0,01;< 0,01;< 0,01;-;0,027;72;< 20;0,24;1,3;< 20;44;0,86;140;170;< 20;10,9;1,1;0;13;< 0,25;1,22;2,53;-;< 0,5;0,06;0,027;0,21;0,14
131;Pois chiche, appertisé, égoutté;;02;fruits, légumes, légumineuses et oléagineux;0203;légumineuses;020301;légumineuses cuites;-;-;-;-;72,1;6,74;6,74;15;2,68;0,5;-;-;-;-;-;0,44;-;5,45;-;1;0;traces;0,3;0,47;0,92;0;0;0;0;0;0,003;0,17;0,03;0,47;0,89;0,032;0;0;0;0;0,54;41,2;-;0,21;1,15;-;27,5;0,67;82,5;135;23,3;216;0,93;0;11,5;0;0,29;3,4;-;0,1;0,03;0,015;0,14;0,3
132;Légume sec, cuit (aliment moyen);;02;fruits, légumes, légumineuses et oléagineux;0203;légumineuses;020301;légumineuses cuites;;;;;69,1;8,38;8,38;12,1;0,62;1,31;;;;;;0,37;;9,34;;0,87;0;0,041;0,12;0,094;0,32;0,0018;0,0018;0,0018;0,0018;0,0018;0,0026;0,099;0,016;;;;;0,0018;0,0018;0;0,012;52,7;16,4;0,23;1,55;5,47;34,9;0,52;159;235;6,73;4,63;0,9;0;16;0,038;0,099;2,63;;1,05;0,12;0,056;0,81;0,44
133;Fève, pelée, surgelée, cuite à l'eau;;02;fruits, légumes, légumineuses et oléagineux;0203;légumineuses;020301;légumineuses cuites;-;-;-;-;80,7;6,4;6,4;9;0,5;< 0,2;< 0,2;-;< 0,2;< 0,2;< 0,2;< 0,2;8,6;2,9;-;0,42;0;0;0,11;0,08;0,28;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;0,092;0,018;0,08;0,26;0,02;< 0,01;< 0,01;< 0,01;-;0,018;31;4,13;0,17;1,3;< 20;22;0,18;97;97;< 20;7,2;0,62;-;83,6;< 0,25;-;3,2;-;< 0,5;0,043;0,038;0,57;0,28
134;Fève, surgelée, bouillie/cuite à l'eau;;02;fruits, légumes, légumineuses et oléagineux;0203;légumineuses;020301;légumineuses cuites;-;-;-;-;80,5;5,6;5,6;7,4;< 0,5;1;< 0,2;-;< 0,2;< 0,2;< 0,2;1;6,4;5,8;-;0,61;0;0;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;-;0,02;61;9,8;0,21;0,93;< 20;26;0,23;88;150;< 20;8;0,55;-;102;< 0,25;-;4,16;-;< 0,5;0,061;0,055;0,98;0,13
135;Haricot coco, bouilli/cuit à l'eau;;02;fruits, légumes, légumineuses et oléagineux;0203;légumineuses;020301;légumineuses cuites;547;131;547;131;61,3;9,63;9,63;13,7;0,5;1,1;< 0,2;-;0,4;< 0,2;< 0,2;0,7;12,3;15,8;< 0,5;1,49;0;0,66;0,11;0,06;0,28;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;0,09;0,02;0,06;0,12;0,16;< 0,01;< 0,01;< 0,01;-;0,023;72;< 20;0,26;2,7;< 20;53;0,59;180;480;< 20;9;1,2;-;15,6;< 0,25;0,1;3,61;-;1,62;0,17;0,02;0,86;0,14
136;Lentille, bouillie/cuite à l'eau;;02;fruits, légumes, légumineuses et oléagineux;0203;légumineuses;020301;légumineuses cuites;-;-;-;-;69,6;9,02;9,02;12,2;0,38;1,8;-;-;-;-;-;0,39;-;7,9;-;0,83;0;traces;0,053;0,064;0,18;0;0;0;0;0;0,001;0,045;0,005;-;-;-;-;0;0;0;0,005;26,2;20;0,24;1,44;3;35,6;0,43;180;222;< 10;2;0,98;0;5;0;0,11;1,7;-;1,5;0,17;0,073;1,06;0,64
137;Lentille, cuisinée, appertisée, égouttée;;02;fruits, légumes, légumineuses et oléagineux;0203;légumineuses;020301;légumineuses cuites;-;-;-;-;73,5;6,28;6,28;11,8;0,64;0,42;< 0,25;-;< 0,25;< 0,2;< 0,25;0,26;10,2;4;-;1,34;0;traces;0,11;0,15;0,26;< 0,01;< 0,01;< 0,01;0,00032;0,00097;0,0045;0,091;0,014;0,15;0,21;0,05;< 0,01;< 0,01;< 0,01;0;0,59;21;-;0,12;1,67;3;15,8;0,4;82,7;178;2,8;230;0,55;0;25;0;0,19;-;-;traces;0,083;0,043;0,43;0,2
138;Haricot mungo, bouilli/cuit à l'eau;;02;fruits, légumes, légumineuses et oléagineux;0203;légumineuses;020301;légumineuses cuites;-;-;-;-;72,5;7,54;7,54;11,9;0,55;2,01;-;-;-;-;-;-;-;6,4;-;1,06;0;traces;0,038;0,029;0,36;0;0;0;0;0;0;0,038;0;-;-;-;-;0;0;0;0,018;53;-;0,14;1,75;-;63;0,41;156;231;-;7;0,83;0;19;0;0,15;2,7;-;1;0,15;0,075;1,5;0,43
139;Fève, bouillie/cuite à l'eau;;02;fruits, légumes, légumineuses et oléagineux;0203;légumineuses;020301;légumineuses cuites;350;82,9;350;82,9;77,9;8,06;8,06;9,35;0,8;0,4;< 0,2;-;< 0,2;< 0,2;< 0,2;0,4;7,6;3,1;< 0,5;0,7;0;0,083;0,16;0,08;0,49;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;0,14;0,02;0,08;0,45;0,04;< 0,01;< 0,01;< 0,01;0;0,025;37;< 20;0,31;1,5;< 20;37;0,31;160;200;< 20;10;1;0;206;0;0,28;5,52;-;< 0,5;0,043;0,064;0,69;0,12
140;Fève, fraîche, surgelée;;02;fruits, légumes, légumineuses et oléagineux;0203;légumineuses;020302;légumineuses fraîches;-;-;-;-;75,8;7,5;7,5;7,95;0,22;2,15;-;-;-;-;-;-;-;3,6;-;0,022;0;traces;0,1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,83;0,022;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
141;Lupin, graine crue;;02;fruits, légumes, légumineuses et oléagineux;0203;légumineuses;020302;légumineuses fraîches;-;-;-;-;10,4;36,2;36,2;21,5;9,74;-;-;-;-;-;-;-;-;18,9;-;3,28;0;traces;1,16;3,94;2,44;-;-;-;-;0,008;0,013;0,74;0,32;-;-;-;-;-;-;0;0,038;176;-;1,02;4,36;-;198;2,38;440;1010;-;15;4,75;0;0;0;-;-;-;4,8;0,64;0,22;2,19;0,75
142;Haricot flageolet, surgelé;;02;fruits, légumes, légumineuses et oléagineux;0203;légumineuses;020302;légumineuses fraîches;-;-;-;-;55,1;9,32;9,32;25,6;0,7;0,4;-;-;-;-;-;-;-;4,4;-;0,78;0;traces;0,1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,78;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
143;Fève à écosser, fraîche;;02;fruits, légumes, légumineuses et oléagineux;0203;légumineuses;020302;légumineuses fraîches;-;-;-;-;76,8;6,76;6,76;4,2;0,67;0,37;-;-;-;-;-;-;3,83;5,85;-;1,11;0;traces;0,13;0,061;0,33;-;-;-;-;0,001;0,002;0,093;0,023;-;-;-;-;-;-;0;0,094;29,5;14;0,24;1,73;-;35,5;0,49;112;291;0,6;37,5;0,79;0;196;0;1,16;40,9;-;18,4;0,15;0,2;1,87;0,16
144;Lentille, germée;;02;fruits, légumes, légumineuses et oléagineux;0203;légumineuses;020302;légumineuses fraîches;-;-;-;-;67,3;8,86;8,86;19;0,58;-;-;-;-;-;-;-;-;3,1;-;1;0;traces;0,061;0,11;0,23;-;-;-;-;-;-;0,055;0,0064;0,11;0,19;0,041;-;-;-;0;0,028;25;-;0,35;3,21;-;37;0,51;173;322;-;11;1,51;0;-;0;-;-;-;16,5;0,23;0,13;1,13;0,58
145;Fève, pelée, surgelée, crue;;02;fruits, légumes, légumineuses et oléagineux;0203;légumineuses;020302;légumineuses fraîches;-;-;-;-;-;14,9;14,9;14,9;0,3;2;-;-;-;-;-;-;-;6,5;-;0,038;0;traces;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,038;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-
146;Haricot flageolet, vert, sec;;02;fruits, légumes, légumineuses et oléagineux;0203;légumineuses;020303;légumineuses sèches;-;-;-;-;8,5;19,1;19,1;42,1;2,6;-;-;-;-;-;-;-;24,1;23,4;-;4,41;0;traces;0,35;0,24;1,49;< 0,001;< 0,001;< 0,001;< 0,001;< 0,001;0,0021;0,27;0,037;0,19;0,47;1,02;< 0,001;< 0,001;< 0,001;< 0,7;0,02;-;38,6;0,68;7,3;< 20;160;1,6;440;-;< 50;7,9;2,3;-;27;< 0,5;0,08;13,7;-;< 0,5;0,31;0,03;1,93;0,68
147;Haricot rouge, sec;;02;fruits, légumes, légumineuses et oléagineux;0203;légumineuses;020303;légumineuses sèches;-;-;-;-;11,8;22,5;22,5;46,1;1,06;2,1;-;-;-;-;-;-;-;15,2;-;3,37;0;traces;0,15;0,082;0,59;0;0;0;0;0;0;0,14;0,018;-;-;-;-;0;0;0;0,03;83;-;0,7;6,69;1,9;138;1,11;406;1360;-;12;2,79;0;0;0;0,21;5,6;-;4,5;0,61;0,22;2,11;0,78
148;Haricot mungo, sec;;02;fruits, légumes, légumineuses et oléagineux;0203;légumineuses;020303;légumineuses sèches;-;-;-;-;9,52;24,5;24,5;47,6;1,42;-;-;-;-;-;-;-;-;16,7;-;3,33;0;traces;0,24;0,13;0,73;0;0;0;0;0;0;0,17;0,063;0,13;0,37;0,028;0;0;0;0;0,066;113;-;0,96;7,16;-;228;1,28;387;1110;8,8;26,5;3,02;0;-;0;1,9;170;-;12,2;0,45;0,24;1,85;0,55
149;Fève, sèche;;02;fruits, légumes, légumineuses et oléagineux;0203;légumineuses;020303;légumineuses sèches;-;-;-;-;11;26,1;26,1;33,3;1,53;5,7;-;-;-;-;-;-;-;25;-;3,08;0;traces;0,25;0,3;0,63;0;0;0;0;0,004;0,002;0,2;0,031;-;-;-;-;0;0;0;0,033;103;-;0,82;6,7;-;192;1,63;421;1060;-;13;3,14;0;32;0;0,05;9;-;1,4;0,56;0,33;2,83;0,98
150;Lentille verte, sèche;;02;fruits, légumes, légumineuses et oléagineux;0203;légumineuses;020303;légumineuses sèches;-;-;-;-;9,5;25,1;25,1;44,5;1,8;1,1;< 0,2;-;< 0,2;< 0,2;< 0,2;1,1;38,5;16,4;-;2,74;0;traces;0,24;0,45;0,95;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;0,01;0,19;0,03;0,42;0,73;0,21;< 0,01;< 0,01;< 0,01;-;< 0,13;64;81;0,6;6,3;< 20;97;1;480;940;< 20;< 5;3,4;-;36,7;< 0,25;-;11,9;-;1,63;0,29;0,046;1,98;1,34
151;Pois chiche, sec;;02;fruits, légumes, légumineuses et oléagineux;0203;légumineuses;020303;légumineuses sèches;-;-;-;-;8,99;20,5;20,5;47,5;5,85;6,5;< 0,2;-;< 0,2;< 0,2;< 0,2;2,3;40;13,3;-;2,79;0;traces;0,55;1,34;2,67;0;0;0;0;0;0,0082;0,46;0,079;1,02;2,03;0,1;< 0,0018;< 0,00092;< 0,00092;0;0,08;90,5;60;0,71;5,36;0,6;120;2,2;276;759;2;23,2;1,88;0;40;0;3,1;9;-;3,5;0,49;0,18;1,52;1,59
152;Pois cassé, sec;;02;fruits, légumes, légumineuses et oléagineux;0203;légumineuses;020303;légumineuses sèches;-;-;-;-;8,33;22,8;22,8;52;1,44;2,75;< 0,1;-;0,15;< 0,1;< 0,1;2,51;-;15,8;-;2,64;0;traces;0,23;0,22;0,75;0;0;0;0;0,0025;0,0017;0,2;0,03;0,19;0,62;0,13;< 0,00021;< 0,00021;< 0,00021;0;0,051;37,4;56;0,75;5,16;0,5;65,5;1,21;364;969;14;15,4;3,68;0;89;0;0,09;47,8;-;1,4;0,77;0,2;2,69;1,88
153;Lentille, sèche;;02;fruits, légumes, légumineuses et oléagineux;0203;légumineuses;020303;légumineuses sèches;-;-;-;-;8,96;25,4;25,4;50,6;1,34;1,25;0,17;0;0;0;0,18;0,9;49,3;7,63;-;2,54;0;traces;0,13;0,19;0,53;0;0;0;0;0;0,0025;0,11;0,012;-;-;-;-;0;0;0;0,21;45,4;64;0,71;6,51;0,7;62;1,39;326;674;12;74;3,17;0;23;0;0,49;5;-;4,5;0,69;0,21;2,3;1,75
154;Lentille corail, sèche;;02;fruits, légumes, légumineuses et oléagineux;0203;légumineuses;020303;légumineuses sèches;-;-;-;-;8,8;27,7;27,7;44,9;0,8;1,29;< 0,2;-;< 0,2;< 0,2;< 0,2;1,29;43,6;15,4;-;2,35;0;traces;0,14;0,23;0,37;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;0,0093;0,1;0,028;0,23;0,28;0,09;< 0,01;< 0,01;< 0,01;0;< 0,13;29;78,2;0,82;6,3;< 20;74;1,2;330;750;< 20;< 5;3,9;0;29,9;< 0,25;-;9,25;-;< 0,5;0,32;0,018;1,42;1,05
155;Haricot blanc, sec;;02;fruits, légumes, légumineuses et oléagineux;0203;légumineuses;020303;légumineuses sèches;-;-;-;-;10,6;19,1;19,1;43,9;1,78;1,92;-;-;-;-;-;-;42;16,8;-;4,05;0;traces;0,22;0,074;0,36;0;0;0;0;0;0,001;0,21;0,013;-;-;-;-;0;0;0;0,028;183;47;0,73;7,97;0,6;187;1,9;363;1660;8,8;11;3,23;0;0;0;0,28;5,6;-;2,04;0,44;0,15;0,48;0,86
156;Prune, crue;;02;fruits, légumes, légumineuses et oléagineux;0204;fruits;020401;fruits crus;-;-;-;-;87;0,66;0,66;9,92;0,29;9,92;2,94;-;4,7;0;0,08;1,57;0;1,5;-;0,49;0;1,27;0,038;0,076;0,1;0;0;0;0;0;0;0,029;0,0085;0,017;0,07;0,035;-;0;0;0;0,0075;7,29;-;0,06;0,16;0,4;6;0,076;17,8;149;0,11;3;0,096;0;190;0;0,33;6,4;-;7,25;0,024;0,026;0,41;0,14
157;Tamarin, fruit mûr, pulpe, cru;;02;fruits, légumes, légumineuses et oléagineux;0204;fruits;020401;fruits crus;-;-;-;-;31,4;2,65;2,65;57,4;0,6;38,8;-;-;-;-;-;-;-;5,1;-;2,7;0;-;0,24;0,17;0,056;0;0;0;0;0;0,0065;0,16;0,057;0,16;0,052;0;0;0;0;0;0,07;74;-;0,086;2,8;-;92;-;113;628;-;28;0,1;0;18;0;0,1;2,8;-;3,5;0,43;0,15;1,94;0,14
158;Figue, crue;;02;fruits, légumes, légumineuses et oléagineux;0204;fruits;020401;fruits crus;293;69,4;293;69,4;80,2;1,19;1,19;13,5;< 0,5;12,2;6,2;-;6;< 0,2;< 0,2;< 0,2;< 0,35;4,1;< 0,5;0,56;0;0,17;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;0;0,013;57;< 20;0,08;0,27;< 20;22;0,06;21;230;< 20;5;0,16;0;73,6;0;< 0,08;5,22;-;< 0,5;< 0,015;< 0,01;0,37;0,15
159;Groseille, crue;;02;fruits, légumes, légumineuses et oléagineux;0204;fruits;020401;fruits crus;289;68,5;289;68,5;82,1;1,56;1,56;7,06;0,7;6,63;3,86;-;2,77;< 0,1;< 0,1;< 0,1;< 0,35;4,6;< 0,5;0,68;0;6,3;0,21;0,11;0,38;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;0,15;0,03;0,11;0,22;0,14;< 0,01;< 0,01;< 0,01;0;< 0,013;38;< 20;0,09;0,35;< 20;12;0,13;38;230;< 20;< 5;0,15;0;25,6;0;1,19;2,06;-;29,8;0,041;< 0,01;0,18;0,65
160;Groseille à maquereau, crue;;02;fruits, légumes, légumineuses et oléagineux;0204;fruits;020401;fruits crus;-;-;-;-;87,9;0,75;0,75;4,88;0,59;-;-;-;-;-;-;-;-;4,03;-;0,47;0;1,4;0,058;0,059;0,31;0;0;0;0;0;0;0,045;0,011;0,059;0,17;0,12;0;0;0;0;0,0038;25,4;-;0,063;0,33;0,3;9;0,16;26,2;187;0,068;1,5;0,14;0;-;0;0,69;-;-;29;0,033;0,029;0,29;0,29
161;Salade de fruits, crue;;02;fruits, légumes, légumineuses et oléagineux;0204;fruits;020401;fruits crus;-;-;-;-;78;0,5;0,5;11,4;0,15;11,2;-;-;-;-;-;-;-;1,23;-;0,72;0;-;0;0,014;0,061;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,03;0,0037;14,5;-;0,071;0,29;1,18;16,4;0,34;16,7;203;4,9;0,81;0,094;0;35;0;0,37;-;-;20;0,043;0,032;0,32;0,15
162;Pomme, pulpe et peau, crue;;02;fruits, légumes, légumineuses et oléagineux;0204;fruits;020401;fruits crus;-;-;-;-;85,4;0,25;0,25;11,6;0,25;9,35;5,96;0;2,01;0;0;1,38;0,05;1,4;-;0,56;0;0,46;0,052;0,01;0,15;0;0;0;0;0;0,0008;0,031;0,011;0,01;0,062;0,0067;0;0;0;0;0,0037;5,34;61;0,041;0,099;0,2;6,47;0,036;14,4;119;< 10;1,5;0,031;0;21,4;0;0,37;2,39;-;6,25;0,016;0,019;0,091;0,079
163;Pomme Golden, pulpe et peau, crue;;02;fruits, légumes, légumineuses et oléagineux;0204;fruits;020401;fruits crus;242;57,1;242;57,1;85,1;< 0,5;< 0,5;12,8;< 0,5;11,5;6,9;-;1,4;< 0,2;< 0,2;3,2;< 0,35;1,4;< 0,5;< 0,25;0;0,048;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;-;< 0,013;4;< 20;0,04;0,07;< 20;3,8;0,03;10;130;< 20;< 5;0,07;-;56;< 0,25;< 0,08;< 0,8;-;< 0,5;< 0,015;< 0,01;< 0,1;0,096
164;Myrtille, crue;;02;fruits, légumes, légumineuses et oléagineux;0204;fruits;020401;fruits crus;244;57,7;244;57,7;84,2;0,87;0,87;10,6;0,33;9,96;4,97;0;4,88;0;0;0,11;0,03;2,4;0,014;0,24;0;1,37;0,028;0,047;0,15;0;0;0;0;0;0;0,017;0,005;-;-;-;-;0;0;0;0,0025;6;-;0,057;0,28;0,5;6;0,34;12;77;traces;1;0,16;0;32;0;0,57;19,3;-;9,7;0,037;0,041;0,42;0,12
165;Melon miel ou melon honeydew, pulpe, cru;;02;fruits, légumes, légumineuses et oléagineux;0204;fruits;020401;fruits crus;-;-;-;-;91,9;0,58;0,58;4,3;0,17;4,3;1,55;0;1,38;0;0;1,37;0;0,75;-;0,56;0;-;0,044;0,015;0,062;0;0;0;0;-;0,002;0,037;0,0054;0,015;0,025;0,037;0;0;0;0;0,06;6;-;0,033;0,34;0;9,08;0,034;15,8;237;0;24,1;0,086;0;30;0;0,035;2,9;-;16,8;0,032;0,016;0,58;0,13
166;Spécialité de fruits divers, sucrée (mélange pulpes et/ou purées de fruits, mais toujours avec autre ingrédient);;02;fruits, légumes, légumineuses et oléagineux;0204;fruits;020402;compotes et assimilés;-;-;-;-;-;0,41;0,41;16,9;0,56;15,8;7,4;-;2,7;< 0,2;< 0,2;1,8;-;1,53;-;0,43;0;-;0,12;-;-;< 0,006;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,0084;5;< 3,6;0,03;0,18;< 20;4,9;0,04;12;120;< 20;3,33;< 0,05;-;19,1;-;1,67;< 0,8;-;10,5;0,23;0,27;3;0,095
167;Dessert de fruits, tout type de fruits (en taux de sucres : compotes allégées en sucres < desserts de fruits < compotes allégée);;02;fruits, légumes, légumineuses et oléagineux;0204;fruits;020402;compotes et assimilés;-;-;-;-;79,4;0,32;0,32;19,5;0,2;16,6;7,52;-;3,58;< 0,2;0,46;5,05;2,91;1,61;-;< 0,25;0;-;0,028;-;0;< 0,006;0;0;0;0,00063;0,00081;0,0095;0,0029;-;-;-;-;-;-;-;0,0049;4;< 3,6;0,04;0,15;< 20;4;0,03;9,3;130;< 20;1,71;< 0,05;-;22,6;-;-;< 0,8;-;11,8;< 0,01;< 0,01;0,28;0,067
168;Coulis de fruits rouges (framboises, fraises, groseilles, cassis);;02;fruits, légumes, légumineuses et oléagineux;0204;fruits;020402;compotes et assimilés;-;-;-;-;-;0,8;0,8;25,1;0,54;25,1;2,79;-;5,17;-;< 0,22;17,2;0;3,46;-;0,29;0;-;< 0,051;< 0,26;< 0,2;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;-;-;< 0,01;0;0,014;25,6;-;0,074;0,71;0,88;14,5;0,32;26,9;204;0,3;7,79;0,2;0;44;0;0,45;-;-;60,9;0,024;0,067;0,33;0,22
169;Compote, tout type de fruits, allégée en sucres, rayon frais;;02;fruits, légumes, légumineuses et oléagineux;0204;fruits;020402;compotes et assimilés;-;-;-;-;83,9;0,32;0,32;14,9;0,48;14,3;6,8;-;3,1;< 0,2;< 0,2;4,3;< 0,35;1,4;-;0,3;0;-;0,14;< 0,0002;< 0,0002;< 0,0002;< 0,0002;< 0,0002;< 0,0002;< 0,0002;< 0,0002;< 0,0002;< 0,0002;< 0,0002;< 0,0002;< 0,0002;< 0,0002;< 0,0002;< 0,0002;-;0,011;4,7;< 3,6;0,04;0,09;< 20;4,7;0,03;9,6;120;< 50;4,38;< 0,05;< 21;23,9;-;0,37;-;-;10,1;< 0,01;< 0,01;0,12;0,036
170;Compote, tout type de fruits;;02;fruits, légumes, légumineuses et oléagineux;0204;fruits;020402;compotes et assimilés;434;102;434;102;73,1;< 0,5;< 0,5;23,9;0,092;23,1;7,26;< 0,1;6,07;< 0;< 0,1;9,8;traces;2;traces;0,35;0;0,33;0,068;0,005;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;< 0,013;18;< 20;0,05;0,13;0,1;5,8;0,04;13;150;< 20;< 5;0,07;0;82,7;< 0,25;0,87;1,52;-;42;< 0,015;< 0,01;0,15;0,12
171;Compote de pomme, allégée en sucres;;02;fruits, légumes, légumineuses et oléagineux;0204;fruits;020402;compotes et assimilés;276;65,1;276;65,1;82,9;< 0,5;< 0,5;15,1;0,08;14,3;7,32;< 0,1;3,01;< 0,1;< 0,1;3,92;-;1,3;traces;0,26;0;0,075;0,064;< 0,1;< 0,1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;< 0,013;3,8;< 20;0,04;0,12;-;3,9;0,03;9,5;120;< 20;< 5;< 0,05;-;8,51;< 0,25;0,32;< 0,8;-;7,75;< 0,015;< 0,01;< 0,1;0,072
172;Compote de pomme;;02;fruits, légumes, légumineuses et oléagineux;0204;fruits;020402;compotes et assimilés;432;102;432;102;72,9;0,23;0,23;24,4;0,21;20,7;7,9;0;5,35;< 0,2;0,5;6,65;1,25;1,53;1,9;0,22;0;0,46;0,017;0,0074;0,051;0;0;0;0;0,00033;0,00033;0,014;0,0026;0,0074;0,039;0,0092;-;< 0,00002;< 0,00002;0;traces;4,44;-;0,043;0,11;0,2;5,09;0,027;6;104;< 10;traces;0,025;0;3;0;0,18;0,6;-;14,5;0,017;0,022;0,072;0,044
173;Chayote ou christophine ou chouchou, crue;;02;fruits, légumes, légumineuses et oléagineux;0204;fruits;020402;compotes et assimilés;-;-;-;-;94,2;0,72;0,72;2,8;0,12;1,66;-;-;-;-;-;-;-;1,7;-;0,3;0;-;0,028;0,01;0,057;0;0;0;0;0;0;0,024;0,003;-;-;-;-;0;0;0;0,005;17;-;0,12;0,34;-;12;0,19;18;125;-;2;0,74;0;0;0;0,12;4,1;-;7,7;0,025;0,029;0,47;0,25
