Num;alim_nom_fr;alim_nom_sci;alim_grp_code;alim_grp_nom_fr;alim_ssgrp_code;alim_ssgrp_nom_fr;alim_ssssgrp_code;alim_ssssgrp_nom_fr;Energie, Règlement UE N° 1169/2011 (kJ/100 g);Energie, Règlement UE N° 1169/2011 (kcal/100 g);Energie, N x facteur Jones, avec fibres  (kJ/100 g);Energie, N x facteur Jones, avec fibres  (kcal/100 g);Eau (g/100 g);Protéines, N x facteur de Jones (g/100 g);Protéines, N x 625 (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Sucres (g/100 g);Fructose (g/100 g);Galactose (g/100 g);Glucose (g/100 g);Lactose (g/100 g);Maltose (g/100 g);Saccharose (g/100 g);Amidon (g/100 g);Fibres alimentaires (g/100 g);Polyols totaux (g/100 g);Cendres (g/100 g);Alcool (g/100 g);Acides organiques (g/100 g);AG saturés (g/100 g);AG monoinsaturés (g/100 g);AG polyinsaturés (g/100 g);AG 4:0, butyrique (g/100 g);AG 6:0, caproïque (g/100 g);AG 8:0, caprylique (g/100 g);AG 10:0, caprique (g/100 g);AG 12:0, laurique (g/100 g);AG 14:0, myristique (g/100 g);AG 16:0, palmitique (g/100 g);AG 18:0, stéarique (g/100 g);AG 18:1 9c (n-9), oléique (g/100 g);AG 18:2 9c,12c (n-6), linoléique (g/100 g);AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100 g);AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100 g);AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100 g);AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100 g);Cholestérol (mg/100 g);Sel chlorure de sodium (g/100 g);Calcium (mg/100 g);Chlorure (mg/100 g);Cuivre (mg/100 g);Fer (mg/100 g);Iode (µg/100 g);Magnésium (mg/100 g);Manganèse (mg/100 g);Phosphore (mg/100 g);Potassium (mg/100 g);Sélénium (µg/100 g);Sodium (mg/100 g);Zinc (mg/100 g);Rétinol (µg/100 g);Beta-Carotène (µg/100 g);Vitamine D (µg/100 g);Vitamine E (mg/100 g);Vitamine K1 (µg/100 g);Vitamine K2 (µg/100 g);Vitamine C (mg/100 g);Vitamine B1 ou Thiamine (mg/100 g);Vitamine B2 ou Riboflavine (mg/100 g);Vitamine B3 ou PP ou Niacine (mg/100 g);Vitamine B5 ou Acide pantothénique (mg/100 g)
299;Agneau, épaule, maigre, crue;;04;viandes, œufs, poissons et assimilés;0402;viandes crues;040105;agneau et mouton casher;582;139;582;139;73;19,6;19,6;0;6,76;0;-;-;-;-;-;-;-;0;0;1,04;0;0;2,42;2,72;0,62;0;0;0;0,01;0,02;0,18;1,31;0,8;-;-;-;-;0;0;66;0,18;15;-;0,11;1,66;-;24;0,024;184;274;-;70;4,77;0;0;0,1;0,22;3,4;-;0;0,12;0,22;5,45;0,71
300;Agneau, côte filet, crue;;04;viandes, œufs, poissons et assimilés;0402;viandes crues;040105;agneau et mouton casher;1000;242;1000;242;64;17,6;17,6;2,3;18;0;-;-;-;-;-;-;-;0;0;0,19;0;0;7,75;6,8;1,26;-;-;-;-;0,085;0,8;3,75;2,16;5,04;0,69;0,12;0,057;-;-;-;0,18;9;-;-;1,15;-;-;-;-;-;5,7;69,6;2,08;-;-;-;-;-;-;-;-;-;5,51;-
301;Agneau, selle, crue;;04;viandes, œufs, poissons et assimilés;0402;viandes crues;040105;agneau et mouton casher;979;236;979;236;63,8;17,5;17,5;0;18,4;0;-;-;-;-;-;-;-;0;0;0,77;0;0;7,95;6,97;1,29;-;-;-;0,07;0,086;0,81;3,84;2,21;5,16;0,71;0,12;0,054;-;-;78;0,14;12,8;-;0,13;1,16;0,7;19;0,014;175;222;5,73;55;2,11;45;-;0,4;0,44;0;-;0;0,1;0,19;5,41;0,59
302;Agneau, collier, cru;;04;viandes, œufs, poissons et assimilés;0402;viandes crues;040105;agneau et mouton casher;812;195;812;195;68,2;18;18;traces;13,7;-;-;-;-;-;-;-;-;0;0;0,21;0;0;5,79;5,21;0,92;-;-;-;-;0,064;0,59;2,8;1,67;3,98;0,5;0,091;0,044;-;-;-;0,2;-;-;-;1,14;-;-;-;-;-;7,41;80,1;3,82;-;-;-;-;-;-;-;-;-;4,27;-
303;Agneau, côtelette, grillée;;04;viandes, œufs, poissons et assimilés;0401;viandes cuites;040105;agneau et mouton casher;999;240;999;240;58;25,7;25,7;traces;15,2;-;-;-;-;-;-;-;-;0;0;1,02;0;0;6,52;4,19;0,51;-;-;0,08;0,029;0,086;0,76;2,93;2,39;4,19;0,35;0,11;0,043;0,014;< 0,014;48,9;0,31;19,7;-;0,077;-;5;20,1;0,0079;184;-;9,97;-;3,5;5,5;0;-;-;-;-;-;-;-;7,45;-
304;Agneau, épaule, maigre, rôtie/cuite au four;;04;viandes, œufs, poissons et assimilés;0401;viandes cuites;040105;agneau et mouton casher;822;197;822;197;63,3;24,9;24,9;0;10,8;0;-;-;-;-;-;-;-;0;0;1,33;0;0;4,08;4,36;0,95;0;0;0;0,02;0,03;0,32;2,17;1,33;-;-;-;-;0;0;87;0,17;19;-;0,11;2,13;5;25;0,026;200;265;6;68;6,04;0;0;0,1;0,18;4,5;-;0;0,09;0,26;5,76;0,73
305;Agneau, côte ou côtelette, cuite (aliment moyen);;04;viandes, œufs, poissons et assimilés;0401;viandes cuites;040105;agneau et mouton casher;660;157;660;157;67,7;26,3;26,3;0;5,78;;;;;;;;;0;0;;0;0;2,21;2,05;0,54;;;;;0,022;0,2;1,08;0,67;1,58;0,28;0,038;0,066;;0,0057;86;;;;;1,27;;;;;;10,1;;3,55;;;;0,16;;;;0,1;;6,72;0,62
306;Agneau, épaule, rôtie/cuite au four;;04;viandes, œufs, poissons et assimilés;0401;viandes cuites;040105;agneau et mouton casher;1050;252;1050;252;53,7;30,5;30,5;< 0,1;14,5;0;-;-;-;-;-;-;-;0;0;1,22;0;0;5,26;4,69;1,26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;99,8;0,24;8,8;61;0,2;2,2;8,6;25,4;< 0,1;231;376;< 5;95,5;4,7;7,5;0;< 0,5;0,14;4,6;-;6,9;0,064;0,3;7,2;0,3
307;Agneau, gigot, rôti/cuit au four;;04;viandes, œufs, poissons et assimilés;0401;viandes cuites;040105;agneau et mouton casher;708;169;708;169;65,9;26,8;26,8;0;6,85;0;-;-;-;-;-;-;-;0;0;1,32;0;0;2,63;2,54;0,63;-;-;-;0,015;0,031;0,27;1,32;0,73;1,98;0,34;0,051;0,059;0,0076;0,009;97,6;0,19;21,8;61;0,12;1,4;5;30,7;0,015;183;301;10,3;75,5;4,01;0;0;-;0,13;-;-;0;0,1;0,28;6,52;0,83
308;Agneau, côte ou côtelette, grillée/poêlée (aliment moyen);;04;viandes, œufs, poissons et assimilés;0401;viandes cuites;040105;agneau et mouton casher;660;157;660;157;67,7;26,3;26,3;0;5,78;;;;;;;;;0;0;;0;0;2,21;2,05;0,54;;;;;0,022;0,2;1,08;0,67;1,58;0,28;0,038;0,066;;0,0057;86;;;;;1,27;;;;;;10,1;;3,55;;;;0,16;;;;0,1;;6,72;0,62
